Date,City,Branch,Product,Sales,InventoryLevel (%),CustomerFootfall,EmployeeName,AvgServiceTime,ReturnRate,LoyaltySegment
2025-01-17,Delhi,Delhi - Branch 2,Americano,257.54,40,26,Stephen,5.78,0.03,Returning
2025-07-09,Hyderabad,Hyderabad - Branch 1,Frappuccino,450.79,80,86,William,2.33,0.02,Loyal
2025-05-27,Jaipur,Jaipur - Branch 1,Espresso,336.65,96,139,Monica,4.42,0.05,New
2025-02-24,Mumbai,Mumbai - Branch 1,Cappuccino,405.6,43,120,Alec,2.74,0.01,Returning
2025-04-06,Chennai,Chennai - Branch 1,Americano,288.83,79,174,Debra,6.05,0.12,Returning
2025-04-22,Mumbai,Mumbai - Branch 1,Americano,180.95,74,200,Lisa,5.49,0.05,Loyal
2025-02-04,Kolkata,Kolkata - Branch 2,Mocha,465.04,99,167,Alexander,3.52,0.01,Loyal
2025-02-04,Bangalore,Bangalore - Branch 3,Americano,505.11,52,189,Amanda,4.75,0.13,New
2025-07-07,Lucknow,Lucknow - Branch 1,Cold Brew,173.97,75,143,Travis,1.62,0.05,New
2025-03-02,Mumbai,Mumbai - Branch 2,Latte,535.63,81,195,Mark,3.47,0.01,New
2025-02-08,Surat,Surat - Branch 2,Latte,324.08,90,57,Jennifer,2.92,0.11,Returning
2025-01-22,Pune,Pune - Branch 3,Frappuccino,480.96,66,14,Randy,3.81,0.05,Loyal
2025-05-30,Chennai,Chennai - Branch 1,Cappuccino,363.64,56,87,Lisa,6.45,0.04,Returning
2025-05-04,London,London - Branch 1,Cappuccino,160.09,59,11,Keith,4.17,0.04,Loyal
2025-03-09,Singapore,Singapore - Branch 1,Cold Brew,278.08,79,169,Adam,2.16,0.05,New
2025-03-10,Mumbai,Mumbai - Branch 1,Frappuccino,292.81,52,124,Kimberly,4.99,0.13,New
2025-05-18,Mumbai,Mumbai - Branch 1,Frappuccino,371.0,78,97,Nicole,4.66,0.1,Loyal
2025-06-17,Lucknow,Lucknow - Branch 2,Mocha,411.23,55,120,James,4.39,0.04,Loyal
2025-03-10,New York,New York - Branch 3,Cappuccino,469.55,96,41,Adrian,1.98,0.07,Loyal
2025-06-30,Jaipur,Jaipur - Branch 1,Mocha,194.06,54,110,Renee,3.33,0.1,Loyal
2025-05-15,Hyderabad,Hyderabad - Branch 2,Cold Brew,431.24,69,166,Sarah,1.71,0.09,New
2025-05-09,Delhi,Delhi - Branch 2,Espresso,542.03,77,120,Joshua,6.91,0.14,New
2025-01-18,Delhi,Delhi - Branch 3,Latte,271.33,90,58,Richard,2.49,0.01,Returning
2025-01-12,Hyderabad,Hyderabad - Branch 3,Americano,410.9,78,176,Paul,5.61,0.01,New
2025-07-05,London,London - Branch 1,Latte,283.67,63,88,Edward,2.28,0.02,Returning
2025-01-26,Mumbai,Mumbai - Branch 2,Cold Brew,212.15,44,180,Jeffery,6.12,0.03,Returning
2025-01-16,New York,New York - Branch 1,Cold Brew,480.89,100,141,Kayla,3.48,0.02,Loyal
2025-06-13,Dubai,Dubai - Branch 3,Cappuccino,217.86,75,154,Nicholas,3.19,0.04,Returning
2025-06-17,Lucknow,Lucknow - Branch 3,Frappuccino,402.15,93,173,Rhonda,4.77,0.05,Loyal
2025-06-24,Pune,Pune - Branch 1,Frappuccino,248.06,65,183,Joshua,3.57,0.06,New
2025-01-27,Surat,Surat - Branch 3,Cold Brew,448.14,30,152,Jacob,3.66,0.11,New
2025-03-26,Surat,Surat - Branch 3,Cappuccino,167.15,54,113,Albert,5.15,0.13,Loyal
2025-03-06,Kolkata,Kolkata - Branch 2,Americano,535.67,86,58,Zoe,5.26,0.02,Loyal
2025-01-22,Hyderabad,Hyderabad - Branch 1,Cold Brew,203.64,30,176,Charles,3.37,0.11,New
